PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,SEASON
203114,Khris Middleton,1610612749,MIL,33,800.7733333333333,2022-23
1630165,Killian Hayes,1610612765,DET,76,2153.588333333333,2022-23
1630184,Kira Lewis Jr.,1610612740,NOP,25,234.76666666666668,2022-23
202691,Klay Thompson,1610612744,GSW,69,2278.911666666667,2022-23
1628424,Kobi Simmons,1610612766,CHA,5,27.77166666666667,2022-23
1627739,Kris Dunn,1610612762,UTA,22,567.5416666666666,2022-23
204001,Kristaps Porziņģis,1610612764,WAS,65,2119.5116666666668,2022-23
203937,Kyle Anderson,1610612750,MIN,69,1956.5733333333333,2022-23
1628398,Kyle Kuzma,1610612764,WAS,64,2238.8516666666665,2022-23
200768,Kyle Lowry,1610612748,MIA,55,1717.725,2022-23
202681,Kyrie Irving,1610612742,DAL,60,2240.5733333333333,2022-23
1630163,LaMelo Ball,1610612766,CHA,36,1267.755,2022-23
1630205,Lamar Stevens,1610612739,CLE,62,1120.4833333333333,2022-23
1629013,Landry Shamet,1610612756,PHX,40,806.91,2022-23
1626204,Larry Nance Jr.,1610612740,NOP,65,1380.8266666666666,2022-23
1628374,Lauri Markkanen,1610612762,UTA,66,2272.4866666666667,2022-23
2544,LeBron James,1610612747,LAL,55,1953.94,2022-23
1630195,Leandro Bolmaro,1610612762,UTA,14,68.47333333333333,2022-23
1631311,Lester Quinones,1610612744,GSW,4,18.116666666666667,2022-23
1629623,Lindell Wigginton,1610612749,MIL,7,86.65,2022-23
1630322,Lindy Waters III,1610612760,OKC,41,530.825,2022-23
1629022,Lonnie Walker IV,1610612747,LAL,56,1297.0366666666666,2022-23
1629663,Louis King,1610612755,PHI,1,28.8,2022-23
1629652,Luguentz Dort,1610612760,OKC,74,2272.3566666666666,2022-23
1629029,Luka Dončić,1610612742,DAL,66,2390.471666666667,2022-23
1630568,Luka Garza,1610612750,MIN,28,243.42,2022-23
1629677,Luka Samanic,1610612762,UTA,7,160.81333333333333,2022-23
1628379,Luke Kennard,1610612763,MEM,59,1315.085,2022-23
1628436,Luke Kornet,1610612738,BOS,69,804.0883333333334,2022-23
1630644,Mac McClung,1610612755,PHI,2,41.06666666666667,2022-23
1630201,Malachi Flynn,1610612761,TOR,53,690.7883333333333,2022-23
1631103,Malaki Branham,1610612759,SAS,66,1549.5966666666666,2022-23
1627763,Malcolm Brogdon,1610612738,BOS,67,1743.815,2022-23
1630792,Malcolm Hill,1610612741,CHI,5,9.15,2022-23
1627736,Malik Beasley,1610612747,LAL,81,2093.085,2022-23
1628370,Malik Monk,1610612758,SAC,77,1719.235,2022-23
1629603,Mamadi Diakite,1610612739,CLE,22,175.87833333333333,2022-23
1630699,MarJon Beauchamp,1610612749,MIL,52,701.3816666666667,2022-23
202694,Marcus Morris Sr.,1610612746,LAC,65,1825.1133333333332,2022-23
203935,Marcus Smart,1610612738,BOS,61,1956.76,2022-23
1631109,Mark Williams,1610612766,CHA,43,827.975,2022-23
1628365,Markelle Fultz,1610612753,ORL,60,1777.9416666666666,2022-23
202693,Markieff Morris,1610612742,DAL,35,355.07,2022-23
1630250,Marko Simonovic,1610612741,CHI,7,19.596666666666668,2022-23
1628963,Marvin Bagley III,1610612765,DET,42,990.455,2022-23
203486,Mason Plumlee,1610612746,LAC,79,2052.945,2022-23
1629680,Matisse Thybulle,1610612757,POR,71,1200.4383333333333,2022-23
1630346,Matt Ryan,1610612750,MIN,34,310.1816666666667,2022-23
203521,Matthew Dellavedova,1610612758,SAC,32,212.79833333333335,2022-23
1631108,Max Christie,1610612747,LAL,41,512.425,2022-23
1629622,Max Strus,1610612748,MIA,80,2271.9783333333335,2022-23
1628467,Maxi Kleber,1610612742,DAL,37,929.7683333333333,2022-23
1630593,McKinley Wright IV,1610612742,DAL,27,335.03,2022-23
203086,Meyers Leonard,1610612749,MIL,9,113.73833333333333,2022-23
1629662,Mfiondu Kabengele,1610612738,BOS,4,36.43333333333333,2022-23
1630695,Micah Potter,1610612762,UTA,7,52.44,2022-23
203487,Michael Carter-Williams,1610612753,ORL,4,44.483333333333334,2022-23
1630701,Michael Foster Jr.,1610612755,PHI,1,1.0333333333333334,2022-23
1629008,Michael Porter Jr.,1610612743,DEN,62,1797.8933333333334,2022-23
1628969,Mikal Bridges,1610612751,BKN,83,2963.1766666666667,2022-23
201144,Mike Conley,1610612750,MIN,67,2028.055,2022-23
203488,Mike Muscala,1610612738,BOS,63,945.09,2022-23
1630540,Miles McBride,1610612752,NYK,64,760.2466666666667,2022-23
1629011,Mitchell Robinson,1610612752,NYK,59,1588.8283333333334,2022-23
1628964,Mo Bamba,1610612747,LAL,49,768.4283333333333,2022-23
1626149,Montrezl Harrell,1610612755,PHI,57,681.075,2022-23
1628420,Monté Morris,1610612764,WAS,62,1696.0866666666666,2022-23
1629021,Moritz Wagner,1610612753,ORL,57,1109.4666666666667,2022-23
1629650,Moses Brown,1610612751,BKN,36,294.145,2022-23
1630541,Moses Moody,1610612744,GSW,63,817.1466666666666,2022-23
1631217,Moussa Diabaté,1610612746,LAC,22,195.49666666666667,2022-23
