Index,Player,Team,Position,Height,Wingspan,Length
307,LeBron James,LAL,PF,6'8.5",7'0.25",3.75
308,Jrue Holiday,BOS,PG,6'3.25",6'7",3.75
309,Keon Johnson,BKN,SG,6'3.5",6'7.25",3.75
310,Lonzo Ball,CHI,PG,6'5.25",6'9",3.75
311,Spencer Dinwiddie,DAL,PG,6'4.5",6'8.25",3.75
312,Devin Booker,PHX,SG,6'4.5",6'8.25",3.75
313,Dalton Knecht,LAL,SF,6'5.25",6'9",3.75
314,Nick Richards,PHX,C,6'10.5",7'2.25",3.75
315,Quentin Grimes,PHI,SG,6'4",6'7.75",3.75
316,Zach LaVine,SAC,SG,6'4.5",6'8.25",3.75
317,Kevin McCullar Jr.,NYK,SF,6'5.25",6'9",3.75
318,Tidjane Salaün,CHA,PF,6'9",7'0.75",3.75
319,Dylan Windler,,SF,6'6.25",6'10",3.75
320,Colby Jones,WAS,SG,6'4.5",6'8",3.5
321,DeMar DeRozan,SAC,SF,6'5.5",6'9",3.5
322,Jayson Tatum,BOS,SF,6'7.5",6'11",3.5
323,Paolo Banchero,ORL,PF,6'9",7'0.5",3.5
324,Jalen Green,HOU,SG,6'4",6'7.5",3.5
325,Stephon Castle,SAS,SG,6'5.5",6'9",3.5
326,Aleksej Pokusevski,,PF,6'11.5",7'3",3.5
327,Jaime Jaquez Jr.,MIA,SF,6'6",6'9.5",3.5
328,Kentavious Caldwell-Pope,ORL,SG,6'4.5",6'8",3.5
329,Kevin Love,MIA,PF,6'7.75",6'11.25",3.5
330,Kobe Bufkin,ATL,SG,6'4.25",6'7.75",3.5
331,Cam Christie,LAC,SG,6'4.5",6'8",3.5
332,Kristaps Porziņģis,BOS,C,7'2.5",7'6",3.5
333,Ja Morant,MEM,PG,6'2.5",6'6",3.5
334,Bryce McGowens,POR,SG,6'5.25",6'8.75",3.5
335,Anthony Gill,WAS,PF,6'7.5",6'11",3.5
336,Luka Garza,MIN,C,6'10",7'1.5",3.5
337,Isaac Okoro,CLE,SF,6'5",6'8.5",3.5
338,Malik Beasley,DET,SG,6'3.5",6'7",3.5
339,Goga Bitadze,ORL,C,6'10.5",7'2",3.5
340,Ben Simmons,LAC,PF,6'9",7'0.5",3.5
341,Cam Thomas,BKN,SG,6'3",6'6.5",3.5
342,Furkan Korkmaz,,SG,6'6.5",6'10",3.5
343,Moses Brown,,C,7'1.25",7'4.75",3.5
344,Caleb Houstan,ORL,SG,6'7.5",6'11",3.5
345,Paul George,PHI,SF,6'7.75",6'11.25",3.5
346,Cory Joseph,ORL,PG,6'2",6'5.5",3.5
347,Nikola Jokić,DEN,C,6'11.5",7'3",3.5
348,Yves Missi,NOP,C,6'10.75",7'2",3.25
349,Delon Wright,NYK,PG,6'4.25",6'7.5",3.25
350,Vlatko Čančar,DEN,PF,6'7.75",6'11",3.25
351,Lamar Stevens,MEM,SF,6'5.75",6'9",3.25
352,Klay Thompson,DAL,SG,6'5.75",6'9",3.25
353,Killian Hayes,,PG,6'4.75",6'8",3.25
354,Kyshawn George,WAS,SF,6'7",6'10.25",3.25
355,Jeremy Sochan,SAS,PF,6'8.5",6'11.75",3.25
356,R.J. Hampton,,SG,6'3.75",6'7",3.25
357,Georges Niang,ATL,PF,6'6.75",6'10",3.25
358,GG Jackson,MEM,PF,6'8.25",6'11.5",3.25
359,John Konchar,MEM,SF,6'4.75",6'8",3.25
360,Julian Strawther,DEN,SF,6'6",6'9.25",3.25
361,Jordan Poole,WAS,SG,6'3.5",6'6.75",3.25
362,Dwight Powell,DAL,C,6'9.5",7'0.5",3
363,Jamal Murray,DEN,PG,6'3.5",6'6.5",3
364,Julian Champagnie,SAS,SF,6'7",6'10",3
365,Jalen Brunson,NYK,PG,6'1",6'4",3
366,Keegan Murray,SAC,PF,6'8",6'11",3
367,Terrence Shannon Jr.,MIN,SG,6'5.75",6'8.75",3
368,Isaiah Livers,,SF,6'6",6'9.25",3
369,Marcus Morris Sr.,,PF,6'7",6'10",3
370,Markieff Morris,LAL,C,6'7.75",6'10.75",3
371,Nick Smith Jr.,CHA,SG,6'5",6'8",3
372,Doug McDermott,SAC,SF,6'6.25",6'9.25",3
373,Oshae Brissett,,PF,6'7",6'10",3
374,Payton Pritchard,BOS,PG,6'1",6'4",3
375,Day'Ron Sharpe,BKN,C,6'9",7'0",3
376,Reggie Bullock Jr.,,SF,6'5.75",6'8.75",3
377,Danilo Gallinari,,PF,6'10",7'1",3
378,Craig Porter Jr.,CLE,PG,6'1",6'4",3
379,Charles Bediako,,C,7'0",7'3",3
380,Cameron Johnson,BKN,PF,6'7",6'10",3
381,Seth Curry,CHA,SG,6'1",6'4",3
382,Chris Paul,SAS,PG,6'1",6'4",3
383,Terance Mann,ATL,SF,6'4.75",6'7.75",3
384,Brandon Miller,CHA,SF,6'9",6'11.5",3
385,Tre Jones,CHI,PG,6'1",6'4",3
386,Tyrese Haliburton,IND,PG,6'4.75",6'7.75",3
387,Vasilije Micić,PHX,PG,6'4",6'7",3
388,Ajay Mitchell,OKC,SG,6'3.25",6'6.25",3
389,John Collins,UTA,PF,6'8.25",6'11.25",3
390,Jock Landale,HOU,C,6'11",7'2",3
391,Malik Monk,SAC,SG,6'2.25",6'5",2.75
392,Nikola Jović,MIA,PF,6'9.5",7'0.25",2.75
393,Jake LaRavia,SAC,SF,6'6.75",6'9.5",2.75
394,Zach Collins,CHI,C,6'10.25",7'1",2.75
395,Andrew Nembhard,IND,PG,6'3",6'5.75",2.75
396,Cam Whitmore,HOU,SF,6'5.75",6'8.5",2.75
397,Patty Mills,LAC,PG,5'11.25",6'2",2.75
398,Monté Morris,PHX,PG,6'1.25",6'4",2.75
399,Landry Shamet,NYK,SG,6'4",6'6.75",2.75
400,Isaiah Hartenstein,OKC,C,6'11.5",7'2.25",2.75
401,Mike Muscala,,C,6'10.25",7'1",2.75
402,Jamal Shead,TOR,PG,6'0.25",6'3",2.75
403,Alperen Sengun,HOU,C,6'10",7'0.5",2.5
404,Joe Ingles,MIN,SF,6'7.75",6'10.25",2.5
405,Sam Hauser,BOS,SF,6'6.75",6'9.25",2.5
406,Jabari Smith Jr.,HOU,PF,6'10.5",7'1",2.5
407,Jaylon Tyson,CLE,SG,6'5.5",6'8",2.5
408,Donte DiVincenzo,MIN,SG,6'3.5",6'6",2.5
409,Franz Wagner,ORL,SF,6'9",6'11.5",2.5
410,Omer Yurtseven,,C,6'10.5",7'1",2.5
411,Ben Sheppard,IND,SG,6'5.25",6'7.75",2.5
412,Ousmane Dieng,OKC,SF,6'9.5",7'0",2.5
413,Max Strus,CLE,SG,6'5",6'7.5",2.5
414,Jonathan Isaac,ORL,PF,6'10.5",7'1",2.5
415,Jusuf Nurkić,CHA,C,6'11.5",7'2",2.5
416,Gradey Dick,TOR,SG,6'6.25",6'8.75",2.5
417,Tim Hardaway Jr.,DET,SG,6'4.5",6'7",2.5
418,Jalen Wilson,BKN,SF,6'5.5",6'8",2.5
419,Trae Young,ATL,PG,6'0.5",6'3",2.5
420,Jakob Poeltl,TOR,C,7'0.25",7'2.75",2.5
421,Jakob Pöltl,,C,7'0.25",7'2.75",2.5
422,Jordan Hawkins,NOP,SG,6'4.25",6'6.75",2.5
423,Jacob Gilyard,,PG,5'8",5'10.5",2.5
424,Cole Anthony,ORL,PG,6'2",6'4.5",2.5
425,Kyrie Irving,DAL,PG,6'1.75",6'4",2.25
426,Zaccharie Risacher,ATL,SF,6'8.25",6'10.5",2.25
427,Michael Porter Jr.,DEN,PF,6'9.75",7'0",2.25
428,Bobi Klintman,DET,SF,6'8.75",6'11",2.25
429,Yuta Watanabe,,SF,6'7.75",6'10",2.25
430,Kyle Lowry,PHI,PG,5'11.75",6'2",2.25
431,Isaiah Collier,UTA,PG,6'2.5",6'4.75",2.25
432,Keyonte George,UTA,SG,6'4",6'6",2
433,Baylor Scheierman,BOS,SG,6'6.25",6'8.25",2
434,Ziaire Williams,BKN,SF,6'8.25",6'10.25",2
435,Cam Spencer,MEM,SG,6'3",6'5",2
436,Cole Swider,TOR,PF,6'9",6'11",2
437,Fred VanVleet,HOU,PG,6'0",6'2",2
438,LaMelo Ball,CHA,PG,6'6",6'8",2
439,Jaden McDaniels,MIN,SF,6'9",6'11",2
440,Tristan da Silva,ORL,PF,6'8.25",6'10.25",2
441,Nikola Topić,OKC,PG,6'6",6'8",2
442,Jalen Suggs,ORL,PG,6'3.5",6'5.5",2
443,Malachi Flynn,,PG,6'1",6'3",2
444,Jeremiah Robinson-Earl,NOP,PF,6'7.75",6'9.75",2
445,Rob Dillingham,MIN,PG,6'1",6'3",2
446,Danuel House Jr.,,SF,6'6",6'8",2
447,Chris Duarte,,SG,6'5",6'7",2
448,Jose Alvarado,NOP,PG,5'11",6'1",2
449,Drew Eubanks,LAC,C,6'9",6'11",2
450,Moritz Wagner,ORL,C,6'10",7'0",2
451,Alex Caruso,OKC,PG,6'4",6'6",2
